dbn,school_name,school_type,n_test_takers,reading,math,writing,parent_response_rate,teacher_response_rate,student_response_rate,academic_expectations,communication,engagement,safety_and_respect,SAT_score,total_satisfaction
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,MS/HS,29,355,404,363,48,94,74,8.1,8.3,7.9,7.9,1122,8.049999999999999
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS,91,383,423,366,26,86,79,8.1,7.7,7.3,8,1172,7.775
01M450,EAST SIDE COMMUNITY SCHOOL,MS/HS,70,377,402,370,33,92,75,8.7,8.8,8.5,8.6,1149,8.65
01M458,FORSYTH SATELLITE ACADEMY,HST,7,414,401,359,20,92,70,8,7.8,7.6,7.9,1174,7.824999999999999
01M509,MARTA VALLE HIGH SCHOOL,HS,44,390,433,384,10,75,46,6.9,6.3,6.4,6.8,1207,6.6000000000000005
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,HST,112,332,557,316,64,100,96,8.5,8.3,8.2,8.6,1205,8.4
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",ES/MS/HS,159,522,574,525,46,57,96,7.9,6.7,6.8,8,1621,7.3500000000000005
01M650,CASCADES HIGH SCHOOL,HST,18,417,418,411,30,100,87,8.8,8.8,8.4,8.6,1246,8.65
01M696,BARD HIGH SCHOOL EARLY COLLEGE,HS,130,624,604,628,50,57,91,8.3,8.3,8.2,8.5,1856,8.325
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,HS,16,395,400,387,40,90,95,8,7.8,7.4,8.3,1182,7.875000000000001
02M288,FOOD AND FINANCE HIGH SCHOOL,HS,62,409,393,392,27,97,79,8,7.8,7.5,7.5,1194,7.7
02M294,ESSEX STREET ACADEMY,HS,53,394,384,378,15,93,74,8.4,8.7,8.3,8.4,1156,8.450000000000001
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,HS,58,374,375,362,37,100,72,8.2,8.2,7.7,8,1111,8.024999999999999
02M298,PACE HIGH SCHOOL,HS,85,423,438,432,83,100,100,7.8,7.7,7.4,7.4,1293,7.574999999999999
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",HS,48,404,449,416,21,96,79,7.9,7.7,7.3,7.6,1269,7.625
02M303,"FACING HISTORY SCHOOL, THE",HS,76,353,358,340,49,89,81,8.2,8.3,7.8,7.7,1051,8
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HS,50,375,388,385,13,100,92,7.7,7.3,6.9,7.4,1148,7.324999999999999
02M308,LOWER MANHATTAN ARTS ACADEMY,HS,40,403,392,405,16,91,70,8.1,8.2,7.7,7.9,1200,7.975
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",HST,69,408,390,390,35,100,82,8.3,8.3,7.8,7.8,1188,8.05
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",HS,42,373,370,384,62,72,80,7.7,7.6,7.1,7.4,1127,7.449999999999999
02M374,GRAMERCY ARTS HIGH SCHOOL,HS,60,391,391,394,70,82,95,7.8,7.5,7.4,7.5,1176,7.550000000000001
02M376,NYC ISCHOOL,HS,92,473,483,479,41,100,70,8.1,8.3,7.9,8.5,1435,8.2
02M394,EMMA LAZARUS HIGH SCHOOL,HST,79,319,512,357,95,100,96,8.6,8.2,7.9,9.1,1188,8.45
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,HS,263,465,493,461,10,99,74,8.1,7.7,7.5,7.6,1419,7.725
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,MS/HS,54,492,465,467,26,88,89,8.7,8.9,8.7,8.6,1424,8.725
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,MS/HS,94,509,490,523,32,96,88,7.8,7.7,7.6,7.8,1522,7.7250000000000005
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,HS,104,496,563,518,25,36,94,8,7.1,6.9,8.1,1577,7.525
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,HS,114,537,590,550,33,68,91,8.4,8.3,8.1,8.3,1677,8.275000000000002
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,MS/HS,66,517,533,515,65,63,94,8,7.6,7.4,7.9,1565,7.725
02M414,N.Y.C. MUSEUM SCHOOL,HS,103,468,492,459,19,52,99,7.2,6.4,6.3,7.8,1419,6.925000000000001
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,HS,127,572,594,592,53,93,97,8.6,8.1,8,8.6,1758,8.325
02M418,MILLENNIUM HIGH SCHOOL,HS,144,528,553,533,37,100,98,8.4,8.1,7.9,8.7,1614,8.274999999999999
02M419,LANDMARK HIGH SCHOOL,HS,62,390,399,381,46,100,69,7.8,7.7,7.2,7.5,1170,7.55
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,HS,336,429,449,428,42,99,91,8,7.8,7.4,7.8,1306,7.750000000000001
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,HS,84,416,426,391,12,68,50,7.9,7.6,7.4,7.7,1233,7.6499999999999995
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,HS,29,356,357,349,5,73,57,7.6,7.5,6.6,6.7,1062,7.1
02M439,MANHATTAN VILLAGE ACADEMY,HS,95,441,473,458,53,78,99,8.1,7.1,6.9,8.5,1372,7.65
02M449,VANGUARD HIGH SCHOOL,HS,72,395,416,388,34,94,84,8.3,8.3,7.9,8,1199,8.125
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,HS,49,376,460,391,70,90,93,8.3,8.3,7.9,8.5,1227,8.25
02M460,WASHINGTON IRVING HIGH SCHOOL,HS,151,373,387,360,14,62,74,7.4,7.5,7,6.8,1120,7.175
02M475,STUYVESANT HIGH SCHOOL,HS,832,679,735,682,49,94,96,8.1,7.3,7.5,8.1,2096,7.75
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,HS,167,443,489,442,42,96,89,8.1,8.1,7.6,8.2,1374,7.999999999999999
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,HS,25,370,349,351,65,100,67,7.7,8,7.4,7.7,1070,7.7
02M519,TALENT UNLIMITED HIGH SCHOOL,HS,81,469,472,475,49,96,94,8.1,7.6,7.6,8,1416,7.824999999999999
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,HS,264,407,440,393,9,95,49,6.5,5.9,5.9,6.1,1240,6.1
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,HS,131,414,425,400,13,58,77,8,7.9,7.4,8,1239,7.825
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,HS,42,429,404,420,48,92,85,8.2,8.1,7.5,7.9,1253,7.924999999999999
02M542,MANHATTAN BRIDGES HIGH SCHOOL,HS,66,336,378,344,52,95,77,8.7,8.6,8.2,8.6,1058,8.524999999999999
02M543,NEW DESIGN HIGH SCHOOL,HS,73,391,395,382,3,88,31,7.7,7.4,7.2,7.7,1168,7.5
02M544,INDEPENDENCE HIGH SCHOOL,HST,14,389,371,335,19,91,31,9.1,8.8,8.8,9,1095,8.925
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,HS,78,412,581,431,47,54,93,7.8,7.5,7.1,8.3,1424,7.675
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,HST,26,368,436,352,59,79,93,8.1,7.6,7.4,8,1156,7.775
02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,HS,77,405,423,384,20,89,87,7.7,7.6,7.4,7.9,1212,7.65
02M560,HIGH SCHOOL M560 s CITY AS SCHOOL,HST,56,498,440,477,17,92,56,8.7,8.4,8.5,8.8,1415,8.600000000000001
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,HST,30,527,508,512,18,100,68,8.9,9.1,8.9,9,1547,8.975
